Частота (Гц)	Уровень (дБ)
62,500000	-13,936480
125,000000	-14,059538
187,500000	-14,404815
250,000000	-12,798176
312,500000	-15,001091
375,000000	-16,652510
437,500000	-6,524045
500,000000	0,135329
562,500000	-6,825568
625,000000	-14,164190
687,500000	-13,734231
750,000000	-15,463891
812,500000	-15,430842
875,000000	-14,444441
937,500000	-16,442846
1000,000000	-15,656215
1062,500000	-13,823033
1125,000000	-11,980521
1187,500000	-13,009284
1250,000000	-15,093006
1312,500000	-14,273146
1375,000000	-13,981880
1437,500000	-14,541878
1500,000000	-14,728374
1562,500000	-15,608263
1625,000000	-15,391797
1687,500000	-14,632220
1750,000000	-13,260789
1812,500000	-12,374272
1875,000000	-12,908705
1937,500000	-14,717141
2000,000000	-12,294147
2062,500000	-15,314669
2125,000000	-16,125807
2187,500000	-14,267780
2250,000000	-13,360518
2312,500000	-14,036200
2375,000000	-14,600397
2437,500000	-14,153847
2500,000000	-15,206492
2562,500000	-15,936976
2625,000000	-16,705614
2687,500000	-13,308171
2750,000000	-12,783710
2812,500000	-14,218281
2875,000000	-13,654990
2937,500000	-14,208607
3000,000000	-13,913288
3062,500000	-13,879185
3125,000000	-13,345735
3187,500000	-13,757633
3250,000000	-16,860790
3312,500000	-14,628656
3375,000000	-14,553755
3437,500000	-15,128791
3500,000000	-15,961435
3562,500000	-12,696954
3625,000000	-12,927436
3687,500000	-13,625477
3750,000000	-14,816718
3812,500000	-14,161275
3875,000000	-14,306096
3937,500000	-12,309381
