Частота (Гц)	Уровень (дБ)
1.953125	-35.108730
3.906250	-44.098888
5.859375	-37.373608
7.812500	-32.643028
9.765625	-33.913052
11.718750	-39.423290
13.671875	-39.043728
15.625000	-33.226028
17.578125	-32.068401
19.531250	-34.248970
21.484375	-37.509968
23.437500	-39.687710
25.390625	-35.508194
27.343750	-36.255527
29.296875	-38.093742
31.250000	-34.587276
33.203125	-32.162827
35.156250	-32.718273
37.109375	-38.624828
39.062500	-37.676880
41.015625	-34.563435
42.968750	-42.272003
44.921875	-36.061333
46.875000	-38.009789
48.828125	-37.638302
50.781250	-39.942219
52.734375	-44.074036
54.687500	-45.411205
56.640625	-40.437283
58.593750	-40.096943
60.546875	-43.126453
62.500000	-40.861748
64.453125	-39.969444
66.406250	-32.089920
68.359375	-34.198376
70.312500	-35.197617
72.265625	-37.441135
74.218750	-47.086922
76.171875	-36.728432
78.125000	-36.060493
80.078125	-43.236965
82.031250	-37.438622
83.984375	-35.791908
85.937500	-36.861576
87.890625	-37.762947
89.843750	-36.230221
91.796875	-38.721081
93.750000	-38.475590
95.703125	-36.884583
97.656250	-37.446018
99.609375	-35.229851
101.562500	-34.269894
103.515625	-36.389893
105.468750	-34.983620
107.421875	-33.173668
109.375000	-37.273365
111.328125	-33.429653
113.281250	-29.124624
115.234375	-31.665800
117.187500	-36.327061
119.140625	-37.153236
121.093750	-37.977360
123.046875	-36.847664
125.000000	-35.378338
126.953125	-39.071583
128.906250	-39.462017
130.859375	-35.339966
132.812500	-35.869114
134.765625	-38.020737
136.718750	-36.964020
138.671875	-38.897823
140.625000	-40.836315
142.578125	-35.284519
144.531250	-39.388729
146.484375	-40.927853
148.437500	-39.009720
150.390625	-39.589401
152.343750	-37.510330
154.296875	-40.347939
156.250000	-34.775818
158.203125	-34.409885
160.156250	-38.556293
162.109375	-39.770603
164.062500	-35.536556
166.015625	-37.699287
167.968750	-38.574623
169.921875	-38.176476
171.875000	-37.491512
173.828125	-36.431751
175.781250	-36.623844
177.734375	-43.051399
179.687500	-37.390198
181.640625	-35.545120
183.593750	-33.967083
185.546875	-34.135983
187.500000	-39.997662
189.453125	-39.053310
191.406250	-41.834095
193.359375	-38.944492
195.312500	-38.150944
197.265625	-43.305328
199.218750	-45.077316
201.171875	-41.040977
203.125000	-37.441044
205.078125	-45.291840
207.031250	-34.986137
208.984375	-33.004787
210.937500	-39.258228
212.890625	-38.656406
214.843750	-40.169998
216.796875	-34.964123
218.750000	-36.262550
220.703125	-35.381317
222.656250	-33.819286
224.609375	-34.972004
226.562500	-42.781406
228.515625	-38.779129
230.468750	-34.999130
232.421875	-40.129326
234.375000	-52.170994
236.328125	-41.267056
238.281250	-39.045116
240.234375	-38.314548
242.187500	-40.558586
244.140625	-37.679077
246.093750	-34.892025
248.046875	-33.199673
250.000000	-35.216434
251.953125	-44.084927
253.906250	-37.565376
255.859375	-31.679985
257.812500	-31.133755
259.765625	-33.480545
261.718750	-37.185326
263.671875	-34.731339
265.625000	-33.458485
267.578125	-31.079185
269.531250	-32.357307
271.484375	-35.627014
273.437500	-45.684959
275.390625	-39.407917
277.343750	-37.331390
279.296875	-35.183319
281.250000	-34.437271
283.203125	-37.915794
285.156250	-52.373489
287.109375	-44.417561
289.062500	-37.523727
291.015625	-37.283325
292.968750	-39.136429
294.921875	-35.339653
296.875000	-34.455860
298.828125	-32.463234
300.781250	-33.983501
302.734375	-30.272907
304.687500	-35.870869
306.640625	-38.904205
308.593750	-35.310116
310.546875	-36.321850
312.500000	-41.019699
314.453125	-40.172565
316.406250	-38.213676
318.359375	-44.936630
320.312500	-38.898033
322.265625	-42.068283
324.218750	-33.115402
326.171875	-34.311390
328.125000	-36.365616
330.078125	-37.160503
332.031250	-40.918880
333.984375	-39.818027
335.937500	-41.074017
337.890625	-37.271473
339.843750	-40.303745
341.796875	-40.148212
343.750000	-38.000824
345.703125	-38.419281
347.656250	-39.855217
349.609375	-35.744522
351.562500	-38.600540
353.515625	-37.212364
355.468750	-34.833973
357.421875	-35.831444
359.375000	-38.009911
361.328125	-41.971340
363.281250	-39.703045
365.234375	-32.531925
367.187500	-33.672077
369.140625	-36.482300
371.093750	-37.257256
373.046875	-41.108208
375.000000	-36.172020
376.953125	-35.482544
378.906250	-39.539055
380.859375	-36.751091
382.812500	-39.674927
384.765625	-42.763374
386.718750	-35.550831
388.671875	-37.487495
390.625000	-33.789318
392.578125	-37.395027
394.531250	-40.536098
396.484375	-39.962135
398.437500	-39.015903
400.390625	-43.296120
402.343750	-39.922108
404.296875	-39.372341
406.250000	-33.547958
408.203125	-37.433704
410.156250	-40.152111
412.109375	-39.321175
414.062500	-34.590553
416.015625	-38.803146
417.968750	-35.257179
419.921875	-34.980087
421.875000	-41.881809
423.828125	-44.034405
425.781250	-45.987576
427.734375	-37.605556
429.687500	-42.930332
431.640625	-37.376476
433.593750	-35.210396
435.546875	-34.938099
437.500000	-35.435505
439.453125	-36.368938
441.406250	-36.652035
443.359375	-38.342377
445.312500	-37.766289
447.265625	-37.640560
449.218750	-39.262791
451.171875	-40.684345
453.125000	-39.837543
455.078125	-36.054333
457.031250	-38.115875
458.984375	-42.916969
