Частота (Гц)	Уровень (дБ)
7.812500	-35.901531
15.625000	-40.546162
23.437500	-30.060955
31.250000	-49.912632
39.062500	-27.867277
46.875000	-25.826540
54.687500	-30.243605
62.500000	-33.217976
70.312500	-26.591534
78.125000	-26.740908
85.937500	-31.994467
93.750000	-29.003122
101.562500	-29.732594
109.375000	-34.030125
117.187500	-32.089863
125.000000	-34.003029
132.812500	-32.503807
140.625000	-28.973783
148.437500	-31.069929
156.250000	-40.885216
164.062500	-37.702984
171.875000	-34.317684
179.687500	-29.975533
187.500000	-25.053549
195.312500	-33.014278
203.125000	-33.234238
210.937500	-24.945244
218.750000	-31.238491
226.562500	-39.920502
234.375000	-36.990166
242.187500	-28.996477
250.000000	-27.427118
257.812500	-43.739662
265.625000	-37.587425
273.437500	-25.149441
281.250000	-26.656982
289.062500	-32.458549
296.875000	-25.491779
304.687500	-23.487160
312.500000	-24.415106
320.312500	-32.276340
328.125000	-28.970087
335.937500	-29.547625
343.750000	-36.835815
351.562500	-35.143017
359.375000	-28.749041
367.187500	-27.987276
375.000000	-28.191940
382.812500	-31.029812
390.625000	-48.311222
398.437500	-32.341637
406.250000	-31.011286
414.062500	-38.423237
421.875000	-29.682232
429.687500	-37.138779
437.500000	-36.847836
445.312500	-38.804028
453.125000	-37.692772
460.937500	-27.483917
468.750000	-29.754679
476.562500	-37.411224
484.375000	-39.515862
492.187500	-52.612774
500.000000	-38.437485
507.812500	-52.104042
515.625000	-36.892967
523.437500	-31.851551
531.250000	-35.324322
539.062500	-40.962841
546.875000	-43.940155
554.687500	-37.832672
562.500000	-42.038170
570.312500	-40.364883
578.125000	-30.936274
585.937500	-28.056717
593.750000	-41.189110
601.562500	-30.050985
609.375000	-29.680891
617.187500	-36.441654
625.000000	-31.462734
632.812500	-28.023947
640.625000	-25.939924
648.437500	-27.890648
656.250000	-30.193983
664.062500	-38.106987
671.875000	-40.974041
679.687500	-48.854595
687.500000	-37.823536
695.312500	-37.117653
703.125000	-30.589380
710.937500	-30.726715
718.750000	-43.268173
